#Min_Id	Max_Id	Length	可否hold	是否起降	是否弯道
4	364	4140.00 	0	1	0
311	364	4134.00 	0	1	0
4	311	84.50 	0	0	0
566	567	85.59 	0	0	0
322	323	87.66 	0	0	0
327	328	88.66 	0	0	0
338	363	2297.00 	0	1	0
340	363	2757.00 	0	1	0
343	363	3205.00 	0	1	0
348	363	4501.00 	0	1	0
349	363	4756.00 	0	1	0
339	361	2287.00 	0	1	0
337	361	2769.00 	0	1	0
336	361	3241.00 	0	1	0
331	361	4514.00 	0	1	0
330	361	4765.00 	0	1	0
329	361	4765.00 	0	1	0
329	330	70.37 	0	0	0
332	333	70.88 	0	0	0
334	335	70.76 	0	0	0
341	342	71.99 	0	0	0
344	345	72.24 	0	0	0
346	347	72.87 	0	0	0
354	360	2374.00 	0	1	0
354	598	155.81	0	0	0
355	360	3080.00 	0	1	0
356	360	3932.00 	0	1	0
357	360	4485.00 	0	1	0
358	360	4596.00 	0	1	0
354	359	2380.00 	0	1	0
353	359	3091.00 	0	1	0
352	359	4036.00 	0	1	0
351	359	4489.00 	0	1	0
350	359	4602.00 	0	1	0
1	365	121.20 	0	0	1
6	365	335.10 	0	0	1
5	365	108.40 	0	0	1
1	366	221.40 	0	0	1
5	366	168.40 	0	0	1
6	366	249.60 	0	0	1
1	367	307.40 	0	0	1
5	367	253.10 	0	0	1
6	367	161.10 	0	0	1
6	368	75.79 	0	0	1
1	368	395.30 	0	0	1
5	368	341.10 	0	0	1
6	369	76.21 	0	0	1
10	369	118.20 	0	0	1
14	369	380.50 	0	0	1
6	370	210.60 	0	0	1
10	370	153.70 	0	0	1
14	370	265.10 	0	0	1
6	371	296.30 	0	0	1
10	371	237.10 	0	0	1
14	371	173.50 	0	0	1
6	372	395.40 	0	0	1
10	372	336.10 	0	0	1
14	372	82.51 	0	0	1
14	373	82.90 	0	0	1
15	373	149.20 	0	0	1
20	373	552.00 	0	0	1
14	374	173.30 	0	0	1
15	374	129.50 	0	0	1
20	374	470.70 	0	0	1
14	375	278.60 	0	0	1
15	375	203.10 	0	0	1
20	375	353.80 	0	0	1
14	376	382.50 	0	0	1
15	376	307.10 	0	0	1
20	376	253.40 	0	0	1
14	377	474.80 	0	0	1
15	377	399.90 	0	0	1
20	377	175.10 	0	0	1
14	378	566.30 	0	0	1
15	378	491.40 	0	0	1
20	378	87.81 	0	0	1
20	379	103.50 	0	0	1
23	379	400.60 	0	0	1
379	564	141.10 	0	0	1
20	380	223.90 	0	0	1
380	564	181.20 	0	0	1
23	380	284.40 	0	0	1
20	381	319.50 	0	0	1
381	564	276.90 	0	0	1
23	381	189.80 	0	0	1
20	382	400.90 	0	0	1
382	564	358.30 	0	0	1
23	382	95.83 	0	0	1
25	383	101.40 	0	0	1
26	383	161.80 	0	0	1
25	384	196.20 	0	0	1
26	384	75.11 	0	0	1
26	385	87.44 	0	0	1
28	385	127.90 	0	0	1
32	385	641.00 	0	0	1
26	386	179.80 	0	0	1
28	386	142.20 	0	0	1
32	386	560.70 	0	0	1
26	387	274.90 	0	0	1
28	387	217.80 	0	0	1
32	387	473.60 	0	0	1
26	388	380.50 	0	0	1
28	388	323.90 	0	0	1
32	388	355.40 	0	0	1
26	389	488.10 	0	0	1
28	389	431.60 	0	0	1
32	389	266.60 	0	0	1
26	390	576.10 	0	0	1
28	390	519.50 	0	0	1
32	390	184.30 	0	0	1
26	391	664.00 	0	0	1
28	391	607.40 	0	0	1
32	391	100.60 	0	0	1
32	392	91.22 	0	0	1
38	392	141.30 	0	0	1
39	392	291.00 	0	0	1
32	393	202.10 	0	0	1
38	393	141.10 	0	0	1
39	393	179.20 	0	0	1
32	394	299.60 	0	0	1
38	394	229.90 	0	0	1
39	394	89.35 	0	0	1
39	395	91.20 	0	0	1
42	395	421.70 	0	0	1
40	395	132.00 	0	0	1
39	407	177.30 	0	0	1
42	407	340.90 	0	0	1
40	407	139.10 	0	0	1
39	396	242.60 	0	0	1
40	396	179.10 	0	0	1
42	396	232.30 	0	0	1
39	397	288.30 	0	0	1
40	397	224.70 	0	0	1
42	397	183.50 	0	0	1
39	398	340.90 	0	0	1
40	398	277.40 	0	0	1
42	398	134.90 	0	0	1
39	399	399.40 	0	0	1
40	399	335.90 	0	0	1
42	399	87.90 	0	0	1
39	400	441.40 	0	0	1
40	400	377.80 	0	0	1
42	400	66.27 	0	0	1
42	401	76.94 	0	0	1
401	565	112.60 	0	0	1
45	401	312.30 	0	0	1
42	402	124.50 	0	0	1
402	565	114.80 	0	0	1
48	565	152.60 	0	0	1
42	403	177.50 	0	0	1
403	565	139.00 	0	0	1
45	402	269.40 	0	0	1
45	403	230.20 	0	0	1
42	404	232.00 	0	0	1
404	565	177.70 	0	0	1
45	404	178.00 	0	0	1
